img,coefficient
0.jpeg,0.0
1.jpeg,0.9931
10.jpeg,0.9995
100.jpeg,0.9999
1000.jpeg,0.9997
1001.jpeg,0.9999
1002.jpeg,0.9974
1003.jpeg,0.9996
1004.jpeg,0.9986
1005.jpeg,0.9980
1006.jpeg,0.9831
1007.jpeg,0.9901
1008.jpeg,0.9990
1009.jpeg,0.9999
101.jpeg,0.9895
1011.jpeg,0.9999
1012.jpeg,0.9987
1013.jpeg,0.9985
1014.jpeg,0.9997
1015.jpeg,0.9996
1016.jpeg,0.9999
1017.jpeg,0.9986
1018.jpeg,0.9994
1019.jpeg,0.9997
102.jpeg,0.9763
1020.jpeg,0.9998
1021.jpeg,0.9996
1022.jpeg,0.9960
1023.jpeg,0.9996
1024.jpeg,0.9997
1025.jpeg,0.9937
1026.jpeg,0.9997
1027.jpeg,0.9997
1028.jpeg,0.9954
1029.jpeg,0.9997
103.jpeg,0.9997
1030.jpeg,0.9961
1031.jpeg,0.9992
1032.jpeg,0.9988
1033.jpeg,0.9998
1034.jpeg,0.9995
1035.jpeg,0.9995
1036.jpeg,0.9963
1037.jpeg,0.9994
1038.jpeg,0.9977
1039.jpeg,0.9995
104.jpeg,0.9999
1040.jpeg,0.9946
1041.jpeg,0.0
1042.jpeg,0.9838
1043.jpeg,0.9997
1044.jpeg,0.9990
1046.jpeg,0.9991
1047.jpeg,0.9941
1048.jpeg,0.9966
1049.jpeg,0.9997
105.jpeg,0.9996
1050.jpeg,0.9919
1051.jpeg,0.9992
1052.jpeg,0.9996
1053.jpeg,0.9971
1054.jpeg,0.8202
1055.jpeg,0.9997
1056.jpeg,0.9984
1057.jpeg,0.0
1058.jpeg,0.9999
1059.jpeg,0.9999
106.jpeg,0.9905
1060.jpeg,0.9933
1061.jpeg,0.9986
1062.jpeg,0.9748
1063.jpeg,0.0
1064.jpeg,0.9921
1065.jpeg,0.9997
1066.jpeg,0.0
1067.jpeg,0.9984
1068.jpeg,0.9994
1069.jpeg,0.9969
107.jpeg,0.9982
1070.jpeg,0.9986
1071.jpeg,0.9983
1072.jpeg,0.9901
1073.jpeg,0.9991
1074.jpeg,0.0
1075.jpeg,0.0
1076.jpeg,0.9989
1077.jpeg,0.9999
1078.jpeg,0.9998
1079.jpeg,0.9994
108.jpeg,0.9998
1081.jpeg,0.9994
1082.jpeg,0.0
1083.jpeg,0.9987
1085.jpeg,0.9991
1086.jpeg,0.9998
1088.jpeg,0.9998
1089.jpeg,0.0
109.jpeg,0.9999
1090.jpeg,0.9999
1091.jpeg,0.9913
1092.jpeg,0.9990
1093.jpeg,0.9959
1094.jpeg,0.9998
1095.jpeg,0.9999
1096.jpeg,0.9996
1097.jpeg,0.0
1098.jpeg,0.9893
110.jpeg,0.9997
1100.jpeg,0.9990
1101.jpeg,0.9997
1102.jpeg,0.9997
1103.jpeg,0.9922
1104.jpeg,0.9998
1105.jpeg,0.9997
1106.jpeg,0.9798
1107.jpeg,0.9985
1108.jpeg,0.9998
1109.jpeg,0.0
111.jpeg,0.9994
1110.jpeg,0.0
1112.jpeg,0.0
1113.jpeg,0.9978
1114.jpeg,0.9977
1115.jpeg,0.9998
1116.jpeg,0.9987
1117.jpeg,0.9979
1118.jpeg,0.9999
1119.jpeg,0.9999
112.jpeg,0.9981
1120.jpeg,0.9989
1121.jpeg,0.0
1122.jpeg,0.0
1123.jpeg,0.9978
1124.jpeg,0.9985
1125.jpeg,0.9990
1126.jpeg,0.9986
1127.jpeg,0.0
1128.jpeg,0.9952
1129.jpeg,0.0
113.jpeg,0.9992
1130.jpeg,0.9999
1131.jpeg,0.0
1132.jpeg,0.9992
1133.jpeg,0.9950
1135.jpeg,0.9987
1136.jpeg,0.9998
1138.jpeg,0.9998
1139.jpeg,0.9986
114.jpeg,0.9995
1140.jpeg,0.9979
1141.jpeg,0.9961
1142.jpeg,0.0
1143.jpeg,0.9999
1144.jpeg,0.9997
1145.jpeg,0.9994
1147.jpeg,0.9997
1148.jpeg,0.9995
1149.jpeg,0.9993
115.jpeg,0.9971
1151.jpeg,0.9997
1152.jpeg,0.9994
1153.jpeg,0.9953
1154.jpeg,0.0
1155.jpeg,0.9996
1156.jpeg,0.9998
1158.jpeg,0.9994
116.jpeg,0.9998
1160.jpeg,0.9759
1161.jpeg,0.0
1162.jpeg,0.9960
1163.jpeg,0.0
1164.jpeg,0.9998
1165.jpeg,0.0
1166.jpeg,0.0
1167.jpeg,0.9999
1168.jpeg,0.9978
117.jpeg,0.9989
1170.jpeg,0.9985
1171.jpeg,0.9984
1172.jpeg,0.9998
1173.jpeg,0.9996
1174.jpeg,0.9994
1175.jpeg,0.9987
1176.jpeg,0.0
1177.jpeg,0.9990
1178.jpeg,0.9992
1179.jpeg,0.9998
118.jpeg,0.9993
1181.jpeg,0.9999
1182.jpeg,0.9975
1184.jpeg,0.0
1185.jpeg,0.9992
1186.jpeg,0.9999
1187.jpeg,0.9927
1188.jpeg,0.0
1189.jpeg,0.9948
1190.jpeg,0.9991
1191.jpeg,0.9999
1192.jpeg,0.9996
1193.jpeg,0.0
1194.jpeg,0.9989
1195.jpeg,0.9968
1196.jpeg,0.9938
1197.jpeg,0.9998
1198.jpeg,0.9996
1199.jpeg,0.0
12.jpeg,0.9856
120.jpeg,0.9998
1201.jpeg,0.9966
1202.jpeg,0.0
1204.jpeg,0.0
1205.jpeg,0.0
1206.jpeg,0.9996
1207.jpeg,0.9998
1208.jpeg,0.9995
1209.jpeg,0.9996
121.jpeg,0.9998
1210.jpeg,0.9980
1211.jpeg,0.0
1212.jpeg,0.9966
1213.jpeg,0.9984
1214.jpeg,0.9983
1215.jpeg,0.9907
1216.jpeg,1.0000
1217.jpeg,0.9995
1218.jpeg,0.9997
1219.jpeg,0.0
122.jpeg,-1
1220.jpeg,0.9971
1221.jpeg,0.9998
1222.jpeg,0.9988
1223.jpeg,0.9998
1224.jpeg,0.9894
1225.jpeg,0.9993
1226.jpeg,0.9955
1227.jpeg,0.9996
1228.jpeg,0.9981
1229.jpeg,0.9997
123.jpeg,0.9998
1231.jpeg,0.9970
1233.jpeg,0.0
1234.jpeg,0.9979
1235.jpeg,0.9989
1236.jpeg,0.9998
1237.jpeg,0.9997
1238.jpeg,0.0
1239.jpeg,0.0
124.jpeg,0.9970
1240.jpeg,0.9998
1241.jpeg,0.9963
1242.jpeg,0.9996
1243.jpeg,0.9989
1245.jpeg,0.9997
1247.jpeg,0.9996
1249.jpeg,0.9998
125.jpeg,0.9990
1250.jpeg,0.0
1251.jpeg,0.9986
1252.jpeg,0.9988
1253.jpeg,0.9971
1254.jpeg,0.9903
1255.jpeg,0.9960
1256.jpeg,0.9995
1257.jpeg,0.9997
1258.jpeg,0.9998
1259.jpeg,0.9989
126.jpeg,0.9805
1260.jpeg,0.9995
1261.jpeg,0.9995
1262.jpeg,0.0
1264.jpeg,0.9997
1265.jpeg,0.9922
1267.jpeg,0.9994
1268.jpeg,0.9993
1269.jpeg,0.9975
127.jpeg,0.9964
1270.jpeg,0.9942
1271.jpeg,0.9995
1272.jpeg,0.9983
1273.jpeg,0.9999
1274.jpeg,0.9997
1275.jpeg,0.9998
1276.jpeg,0.0
1277.jpeg,0.9998
1278.jpeg,0.6715
1279.jpeg,0.0
128.jpeg,0.9997
1280.jpeg,0.9998
1281.jpeg,0.9997
1282.jpeg,0.9996
1283.jpeg,0.9973
1284.jpeg,0.9993
1285.jpeg,0.9997
1286.jpeg,0.9980
1287.jpeg,0.9999
1289.jpeg,0.9996
129.jpeg,0.0
1290.jpeg,0.9999
1291.jpeg,0.9978
1292.jpeg,0.9989
1293.jpeg,0.9990
1294.jpeg,0.9986
1295.jpeg,0.9591
1296.jpeg,0.0
1297.jpeg,0.9926
1298.jpeg,0.9997
1299.jpeg,0.9992
13.jpeg,0.9999
130.jpeg,0.9998
1300.jpeg,0.9989
1301.jpeg,0.9976
1302.jpeg,0.9997
1303.jpeg,0.0
1304.jpeg,0.8799
1305.jpeg,0.9996
1306.jpeg,0.9994
1307.jpeg,0.9936
1308.jpeg,0.9999
1309.jpeg,0.9986
131.jpeg,0.9996
1310.jpeg,0.9971
1311.jpeg,0.9997
1312.jpeg,0.9998
1313.jpeg,0.9873
1314.jpeg,0.9997
1315.jpeg,0.9999
1317.jpeg,0.9999
1319.jpeg,0.9967
132.jpeg,0.9990
1320.jpeg,0.0
1321.jpeg,0.9986
1322.jpeg,0.9994
1323.jpeg,0.9887
1324.jpeg,0.9955
1326.jpeg,0.9981
1327.jpeg,0.9987
1328.jpeg,0.9991
1329.jpeg,0.9983
133.jpeg,0.9960
1331.jpeg,0.0
1332.jpeg,0.9992
1333.jpeg,0.9996
1334.jpeg,0.9995
1335.jpeg,0.9702
1336.jpeg,0.9670
1337.jpeg,0.0
1339.jpeg,0.9999
134.jpeg,0.0
1340.jpeg,0.9998
1341.jpeg,0.9810
1342.jpeg,0.9969
1343.jpeg,0.9857
1344.jpeg,0.9993
1345.jpeg,0.9983
1346.jpeg,0.9982
1347.jpeg,0.9873
1348.jpeg,0.9997
1349.jpeg,0.9997
135.jpeg,0.9999
1351.jpeg,0.9993
1352.jpeg,0.0
1353.jpeg,0.9991
1355.jpeg,0.9999
1356.jpeg,0.9996
1357.jpeg,0.0
1358.jpeg,0.9937
1359.jpeg,0.9998
136.jpeg,0.9993
1360.jpeg,0.0
1361.jpeg,0.9999
1363.jpeg,0.9991
1364.jpeg,0.9985
1365.jpeg,0.0
1366.jpeg,0.9995
1367.jpeg,0.0
1368.jpeg,0.9942
1369.jpeg,0.9994
1372.jpeg,0.0
1373.jpeg,0.9992
1374.jpeg,0.9995
1375.jpeg,0.9995
1377.jpeg,0.9945
1378.jpeg,0.0
1379.jpeg,0.9998
1380.jpeg,0.9997
1381.jpeg,0.9940
1382.jpeg,0.9995
1383.jpeg,0.9967
1384.jpeg,0.9980
1386.jpeg,0.9998
1387.jpeg,0.0
1388.jpeg,0.9943
1389.jpeg,0.9995
139.jpeg,0.9997
1390.jpeg,0.9974
1391.jpeg,0.9999
1392.jpeg,0.9991
1393.jpeg,0.9997
1394.jpeg,0.9946
1395.jpeg,0.9987
1396.jpeg,0.9998
1397.jpeg,0.9970
1398.jpeg,0.9997
1399.jpeg,0.6294
14.jpeg,0.9989
140.jpeg,0.9997
1400.jpeg,0.9991
1401.jpeg,0.0
1402.jpeg,0.9999
1404.jpeg,0.0
1405.jpeg,0.9990
1406.jpeg,0.9337
1407.jpeg,0.9996
1408.jpeg,0.9999
1409.jpeg,0.9997
141.jpeg,0.9828
1410.jpeg,0.9997
1411.jpeg,0.9986
1412.jpeg,0.9985
1413.jpeg,0.9991
1414.jpeg,0.9988
1416.jpeg,0.9999
1417.jpeg,0.9932
1418.jpeg,0.9910
1419.jpeg,0.9997
142.jpeg,0.9997
1420.jpeg,0.9993
1421.jpeg,0.0
1422.jpeg,0.9990
1423.jpeg,0.9995
1424.jpeg,0.0
1425.jpeg,0.9996
1426.jpeg,0.5798
1427.jpeg,0.9990
1428.jpeg,0.9983
143.jpeg,1.0000
1430.jpeg,0.9999
1431.jpeg,0.9999
1432.jpeg,0.9997
1433.jpeg,0.9732
1434.jpeg,0.8655
1436.jpeg,0.9973
1437.jpeg,0.9998
1438.jpeg,0.9992
1439.jpeg,0.0
144.jpeg,0.9998
1440.jpeg,0.9999
1441.jpeg,0.9990
1442.jpeg,0.9998
1443.jpeg,0.9993
1444.jpeg,0.9999
1445.jpeg,0.9103
1446.jpeg,0.9998
1447.jpeg,0.9762
1448.jpeg,0.9970
1449.jpeg,0.9993
145.jpeg,0.9998
1450.jpeg,0.9970
1451.jpeg,0.9731
1452.jpeg,0.9925
1453.jpeg,0.0
1454.jpeg,0.9681
1456.jpeg,0.0
1458.jpeg,0.0
1459.jpeg,0.9993
146.jpeg,0.9998
1460.jpeg,0.9998
1461.jpeg,0.9979
1462.jpeg,0.9994
1463.jpeg,0.9987
1464.jpeg,0.9454
1465.jpeg,0.9997
1466.jpeg,0.9999
1467.jpeg,0.9996
1468.jpeg,0.0
1469.jpeg,0.0
147.jpeg,0.0
1470.jpeg,0.9994
1471.jpeg,0.9999
1472.jpeg,0.9993
1474.jpeg,0.9999
1475.jpeg,0.9999
1476.jpeg,0.9996
1477.jpeg,0.9987
1478.jpeg,0.9998
1479.jpeg,0.0
148.jpeg,0.9989
1480.jpeg,0.9978
1481.jpeg,0.9985
1483.jpeg,0.9990
1484.jpeg,0.9929
1485.jpeg,0.9982
1486.jpeg,0.9997
1487.jpeg,0.9996
1488.jpeg,0.9998
1489.jpeg,0.9998
1490.jpeg,0.9996
1492.jpeg,0.9998
1493.jpeg,0.9949
1494.jpeg,0.9982
1495.jpeg,0.9989
1496.jpeg,0.9986
1497.jpeg,0.9963
1498.jpeg,0.9995
1499.jpeg,0.9996
15.jpeg,0.9993
1500.jpeg,0.9997
1501.jpeg,0.9986
1502.jpeg,0.9968
1503.jpeg,0.9983
1504.jpeg,0.9998
1505.jpeg,0.0
1506.jpeg,0.0
1507.jpeg,0.9998
1508.jpeg,0.9992
1509.jpeg,0.9978
151.jpeg,0.9993
1510.jpeg,0.9980
1511.jpeg,0.9997
1512.jpeg,0.9996
1513.jpeg,0.9987
1514.jpeg,0.9861
1515.jpeg,0.9994
1516.jpeg,0.9984
1519.jpeg,0.0
152.jpeg,0.0
1520.jpeg,0.0
1523.jpeg,0.9993
1524.jpeg,0.9994
1525.jpeg,0.9955
1526.jpeg,0.9999
1527.jpeg,0.9999
1529.jpeg,0.0
153.jpeg,0.9996
1530.jpeg,0.9994
1531.jpeg,0.9998
1532.jpeg,0.9997
1533.jpeg,0.9990
1534.jpeg,0.9999
1535.jpeg,0.9992
1536.jpeg,0.0
1537.jpeg,0.9998
1538.jpeg,0.9980
1539.jpeg,0.9995
154.jpeg,0.9997
1540.jpeg,0.9981
1541.jpeg,0.9942
1542.jpeg,0.9996
1543.jpeg,0.9995
1544.jpeg,0.9967
1545.jpeg,1.0000
1546.jpeg,0.0
1547.jpeg,0.9996
1549.jpeg,0.0
1550.jpeg,0.9991
1551.jpeg,0.9994
1552.jpeg,0.9956
1553.jpeg,0.9998
1554.jpeg,0.9980
1555.jpeg,0.9973
1556.jpeg,0.9998
1557.jpeg,0.9998
1558.jpeg,0.9998
1560.jpeg,0.9998
1561.jpeg,0.9997
1562.jpeg,0.9990
1563.jpeg,0.9990
1565.jpeg,0.9995
1566.jpeg,0.9998
1567.jpeg,0.9972
1568.jpeg,0.8137
1569.jpeg,0.9995
157.jpeg,0.9999
1570.jpeg,0.9998
1571.jpeg,0.9998
1572.jpeg,0.9975
1573.jpeg,0.9985
1574.jpeg,0.9997
1575.jpeg,0.9966
1576.jpeg,0.9963
1577.jpeg,0.9999
1578.jpeg,0.9768
1579.jpeg,0.0
158.jpeg,0.9998
1580.jpeg,0.9998
1581.jpeg,0.9994
1582.jpeg,0.9998
1583.jpeg,0.9712
1584.jpeg,0.9990
1585.jpeg,0.9995
1586.jpeg,0.9992
1587.jpeg,0.9996
1588.jpeg,0.9982
1589.jpeg,0.9999
159.jpeg,0.9979
1590.jpeg,0.9998
1591.jpeg,0.9973
1592.jpeg,0.9888
1593.jpeg,0.9989
1594.jpeg,0.9989
1595.jpeg,-1
1596.jpeg,0.9994
1597.jpeg,0.9952
1598.jpeg,0.9980
1599.jpeg,0.9901
16.jpeg,0.9998
160.jpeg,0.9999
1600.jpeg,0.9960
1602.jpeg,0.9996
1603.jpeg,0.9785
1604.jpeg,0.9997
1605.jpeg,0.9987
1606.jpeg,0.9996
1607.jpeg,0.9999
1608.jpeg,0.9985
1609.jpeg,0.9999
161.jpeg,0.9998
1610.jpeg,0.9998
1611.jpeg,0.9990
1612.jpeg,0.9999
1613.jpeg,0.8935
1615.jpeg,0.0
1616.jpeg,0.9996
1617.jpeg,0.0
1619.jpeg,0.9999
162.jpeg,0.9990
1620.jpeg,0.0
1621.jpeg,0.9996
1622.jpeg,0.9994
1623.jpeg,0.9995
1624.jpeg,0.9997
1625.jpeg,0.9954
1626.jpeg,0.9993
1628.jpeg,0.9987
1629.jpeg,0.9994
163.jpeg,0.0
1630.jpeg,0.9985
1632.jpeg,0.9998
1633.jpeg,0.0
1634.jpeg,0.0
1635.jpeg,0.9999
1636.jpeg,0.9746
1637.jpeg,0.0
1638.jpeg,0.9999
1639.jpeg,0.9916
164.jpeg,0.9989
1640.jpeg,0.9969
1641.jpeg,0.9998
1642.jpeg,0.9994
1643.jpeg,0.9994
1644.jpeg,0.9995
1645.jpeg,0.9991
1646.jpeg,0.0
1647.jpeg,0.9998
1648.jpeg,0.9997
1649.jpeg,0.9998
165.jpeg,0.9869
1650.jpeg,0.9973
1651.jpeg,0.9998
1652.jpeg,0.9998
1653.jpeg,0.9990
1654.jpeg,0.9978
1655.jpeg,0.0
1656.jpeg,0.9999
1657.jpeg,0.9992
1659.jpeg,0.9983
166.jpeg,0.9988
1660.jpeg,0.9901
1662.jpeg,1.0000
1663.jpeg,0.9999
1664.jpeg,0.9868
1665.jpeg,0.9999
1666.jpeg,0.9995
1667.jpeg,0.0
1668.jpeg,0.9943
1669.jpeg,0.9995
167.jpeg,0.9995
1670.jpeg,0.9984
1671.jpeg,0.9955
1672.jpeg,0.9837
1673.jpeg,0.9985
1674.jpeg,0.9995
1675.jpeg,0.9990
1676.jpeg,0.9982
1677.jpeg,0.9998
1678.jpeg,1.0000
168.jpeg,0.9982
1680.jpeg,0.9914
1681.jpeg,0.9968
1682.jpeg,0.9999
1683.jpeg,0.9998
1684.jpeg,0.9981
1685.jpeg,0.9998
1687.jpeg,0.9998
1688.jpeg,0.9999
1689.jpeg,0.9986
169.jpeg,0.9991
1690.jpeg,0.9953
1691.jpeg,0.9965
1692.jpeg,0.9993
1693.jpeg,0.9992
1694.jpeg,0.9997
1695.jpeg,0.9968
1696.jpeg,0.9993
1697.jpeg,1.0000
1698.jpeg,0.9997
1699.jpeg,0.9994
17.jpeg,0.9991
170.jpeg,0.9907
1700.jpeg,0.9997
1701.jpeg,0.0
1702.jpeg,0.9997
1703.jpeg,0.9979
1704.jpeg,0.9991
1705.jpeg,0.9905
1706.jpeg,0.9997
1707.jpeg,0.9999
1708.jpeg,0.9998
1709.jpeg,0.0
1710.jpeg,0.9959
1711.jpeg,0.0
1712.jpeg,0.9962
1713.jpeg,0.9961
1714.jpeg,0.9929
1715.jpeg,0.9999
1716.jpeg,0.9997
1718.jpeg,0.9996
1719.jpeg,-1
172.jpeg,0.9992
1721.jpeg,0.9998
1722.jpeg,0.9991
1723.jpeg,0.9921
1724.jpeg,0.9998
1725.jpeg,0.0
1726.jpeg,0.9979
1727.jpeg,0.9998
1728.jpeg,0.9993
1729.jpeg,0.9990
173.jpeg,0.9332
1730.jpeg,0.9961
1731.jpeg,0.9994
1732.jpeg,0.0
1733.jpeg,0.9996
1734.jpeg,0.9965
1735.jpeg,0.9997
1736.jpeg,0.9989
1737.jpeg,0.9998
1738.jpeg,0.9946
1739.jpeg,-1
174.jpeg,0.9999
1740.jpeg,0.9998
1741.jpeg,0.9991
1742.jpeg,0.9999
1743.jpeg,0.9995
1744.jpeg,0.9963
1745.jpeg,0.9997
1746.jpeg,0.9994
1747.jpeg,0.0
1748.jpeg,0.9997
1749.jpeg,0.9997
175.jpeg,0.9999
1751.jpeg,0.9995
1752.jpeg,0.9992
1753.jpeg,0.9984
1754.jpeg,0.9964
1755.jpeg,0.9999
1756.jpeg,0.9916
1757.jpeg,0.9990
1758.jpeg,0.0
1759.jpeg,0.9996
176.jpeg,0.9999
1760.jpeg,0.9996
1761.jpeg,0.9998
1762.jpeg,0.0
1763.jpeg,0.9993
1764.jpeg,0.9996
1765.jpeg,0.9995
1767.jpeg,0.9990
1769.jpeg,0.9989
177.jpeg,0.9999
1770.jpeg,0.9998
1771.jpeg,0.9994
1772.jpeg,0.9996
1773.jpeg,0.9996
1774.jpeg,0.9938
1775.jpeg,0.9936
1777.jpeg,0.9968
1778.jpeg,0.9998
1779.jpeg,0.9998
178.jpeg,0.0
1780.jpeg,0.9986
1781.jpeg,0.0
1782.jpeg,0.9997
1783.jpeg,1.0000
1784.jpeg,0.9966
1785.jpeg,0.9971
1786.jpeg,0.9999
1787.jpeg,0.9987
1788.jpeg,0.9996
1789.jpeg,0.9893
1790.jpeg,0.9800
1791.jpeg,0.9999
1792.jpeg,0.9935
1793.jpeg,0.8495
1794.jpeg,0.0
1795.jpeg,0.9991
1796.jpeg,0.0
1797.jpeg,0.9992
1798.jpeg,0.9994
1799.jpeg,0.0
18.jpeg,0.9995
180.jpeg,0.9998
1800.jpeg,0.0
1802.jpeg,0.9827
1803.jpeg,0.9891
1805.jpeg,0.9997
1806.jpeg,0.9995
1807.jpeg,0.9996
1808.jpeg,0.9956
1809.jpeg,0.9994
181.jpeg,0.9980
1810.jpeg,0.0
1811.jpeg,0.0
1812.jpeg,0.9989
1813.jpeg,0.9996
1814.jpeg,0.0
1816.jpeg,0.9976
1817.jpeg,0.9994
1818.jpeg,0.6897
1819.jpeg,0.9998
182.jpeg,0.9977
1820.jpeg,0.9998
1821.jpeg,0.9990
1822.jpeg,0.9967
1823.jpeg,0.9990
1824.jpeg,0.9921
1825.jpeg,0.9998
1826.jpeg,0.9983
1827.jpeg,0.0
1828.jpeg,0.9993
1829.jpeg,0.9962
183.jpeg,0.9942
1830.jpeg,0.9996
1831.jpeg,0.9993
1833.jpeg,0.0
1834.jpeg,0.9997
1835.jpeg,0.9957
1836.jpeg,0.9867
1837.jpeg,0.9999
1838.jpeg,0.9984
1839.jpeg,0.9981
184.jpeg,0.9998
1840.jpeg,0.9999
1841.jpeg,0.9997
1842.jpeg,0.0
1843.jpeg,0.9992
1844.jpeg,0.0
1845.jpeg,0.9994
1847.jpeg,0.9989
1848.jpeg,0.9987
1849.jpeg,0.9999
185.jpeg,0.9995
1850.jpeg,0.9929
1851.jpeg,0.9998
1852.jpeg,0.9994
1853.jpeg,0.9986
1854.jpeg,0.9999
1856.jpeg,0.9986
1857.jpeg,0.9994
1858.jpeg,0.9998
1859.jpeg,0.9998
186.jpeg,0.9997
1860.jpeg,0.9998
1861.jpeg,0.9961
1862.jpeg,0.9998
1863.jpeg,0.9998
1864.jpeg,0.9996
1865.jpeg,0.9999
1866.jpeg,0.9966
1867.jpeg,0.9994
1868.jpeg,0.9999
1869.jpeg,0.9999
187.jpeg,0.9997
1871.jpeg,0.9988
1872.jpeg,0.9965
1873.jpeg,0.9997
1874.jpeg,0.9997
1875.jpeg,0.0
1876.jpeg,0.9999
1878.jpeg,0.9997
1879.jpeg,0.0
188.jpeg,0.9997
1880.jpeg,0.9964
1881.jpeg,0.9913
1882.jpeg,0.9942
1883.jpeg,0.9992
1884.jpeg,0.9982
1885.jpeg,0.9967
1886.jpeg,0.9999
1887.jpeg,0.0
1888.jpeg,0.9996
189.jpeg,0.9993
1890.jpeg,0.9996
1891.jpeg,0.9986
1892.jpeg,0.9993
1894.jpeg,0.9994
1895.jpeg,0.0
1896.jpeg,0.9999
1897.jpeg,0.9994
1898.jpeg,0.0
1899.jpeg,0.9994
19.jpeg,0.9941
190.jpeg,0.9997
1900.jpeg,0.9992
1901.jpeg,0.9994
1902.jpeg,0.9996
1904.jpeg,0.9998
1906.jpeg,0.9983
1908.jpeg,0.9984
1909.jpeg,0.9948
191.jpeg,0.9990
1910.jpeg,0.9997
1911.jpeg,0.9984
1912.jpeg,0.9988
1913.jpeg,0.9986
1914.jpeg,0.9947
1915.jpeg,0.0
1916.jpeg,0.9998
1917.jpeg,0.9997
1918.jpeg,0.9998
1919.jpeg,0.9998
192.jpeg,0.9999
1920.jpeg,0.9998
1921.jpeg,0.9512
1922.jpeg,0.9995
1923.jpeg,0.9999
1924.jpeg,0.0
1925.jpeg,0.9939
1926.jpeg,0.9971
1927.jpeg,0.9978
1928.jpeg,0.9994
1929.jpeg,0.0
193.jpeg,0.9988
1930.jpeg,0.9999
1932.jpeg,0.9999
1933.jpeg,1.0000
1934.jpeg,0.9978
1935.jpeg,0.9995
1936.jpeg,0.9999
1937.jpeg,0.9995
1938.jpeg,0.9960
194.jpeg,0.0
1941.jpeg,0.9997
1942.jpeg,0.9997
1943.jpeg,0.9997
1944.jpeg,0.9998
1945.jpeg,0.9999
1946.jpeg,0.9987
1948.jpeg,0.9968
1949.jpeg,0.9995
195.jpeg,0.9987
1950.jpeg,0.9999
1952.jpeg,0.9998
1953.jpeg,0.9824
1954.jpeg,0.0
1955.jpeg,0.9996
1956.jpeg,0.9943
1957.jpeg,0.9938
1958.jpeg,0.9998
